Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
navigateToUrl,Firefox 53.0,,2017-05-28 09:13:27,2017-05-28 09:13:28,1.237s,PASSED
setText,Firefox 53.0,,2017-05-28 09:13:28,2017-05-28 09:13:29,0.309s,PASSED
setText,Firefox 53.0,,2017-05-28 09:13:29,2017-05-28 09:13:29,0.194s,PASSED
click,Firefox 53.0,,2017-05-28 09:13:29,2017-05-28 09:13:34,5.310s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:13:34,2017-05-28 09:13:34,0.090s,PASSED
click,Firefox 53.0,,2017-05-28 09:13:34,2017-05-28 09:13:37,2.891s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:13:37,2017-05-28 09:13:39,1.962s,PASSED
,,,,,,
Test Cases/parts menu/RoHs,Firefox 53.0,,2017-05-28 09:13:39,2017-05-28 09:14:20,41.314s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:13:39,2017-05-28 09:13:43,4.188s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:13:43,2017-05-28 09:13:46,2.239s,PASSED
setText,Firefox 53.0,,2017-05-28 09:13:46,2017-05-28 09:13:46,0.219s,PASSED
setText,Firefox 53.0,,2017-05-28 09:13:46,2017-05-28 09:13:46,0.167s,PASSED
click,Firefox 53.0,,2017-05-28 09:13:46,2017-05-28 09:14:10,24.001s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:14:10,2017-05-28 09:14:10,0.090s,PASSED
click,Firefox 53.0,,2017-05-28 09:14:10,2017-05-28 09:14:19,8.407s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:14:19,2017-05-28 09:14:20,1.911s,PASSED
,,,,,,
Test Cases/parts menu/ROHSMapping,Firefox 53.0,,2017-05-28 09:14:21,2017-05-28 09:14:53,32.173s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:14:21,2017-05-28 09:14:25,4.243s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:14:25,2017-05-28 09:14:26,0.945s,PASSED
setText,Firefox 53.0,,2017-05-28 09:14:26,2017-05-28 09:14:26,0.321s,PASSED
setText,Firefox 53.0,,2017-05-28 09:14:26,2017-05-28 09:14:27,0.930s,PASSED
click,Firefox 53.0,,2017-05-28 09:14:27,2017-05-28 09:14:44,16.962s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:14:44,2017-05-28 09:14:44,0.100s,PASSED
click,Firefox 53.0,,2017-05-28 09:14:44,2017-05-28 09:14:44,0.254s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:14:44,2017-05-28 09:14:53,8.291s,PASSED
,,,,,,
Test Cases/parts menu/test,Firefox 53.0,,2017-05-28 09:14:53,2017-05-28 09:14:53,0.098s,PASSED
Statement - return null,Firefox 53.0,,2017-05-28 09:14:53,2017-05-28 09:14:53,0.001s,PASSED
